연별,가정용,공공용,서비스업,산업용_농림수산업,산업용_광업,산업용_제조업
2014,3596277,885273,6175099,114712,73523,11733166
2015,3662376,901663,6364880,132422,83342,12067083
2016,3819581,891181,6846858,142255,92925,12083057
2017,3856852,921749,7154415,142953,71529,12367816
2018,1028316,281161,2121343,33345,12537,3117610
