Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,170.160004,172.300003,169.259995,172.259995,167.701889,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,167.672668,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,168.451508,22434600
2018-01-05,173.440002,175.369995,173.050003,175.000000,170.369385,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,169.736588,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,169.717117,21584000
2018-01-10,173.160004,174.300003,173.000000,174.289993,169.678162,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,170.641968,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,172.404099,25418100
2018-01-16,177.899994,179.389999,176.139999,176.190002,171.527893,29565900
2018-01-17,176.149994,179.250000,175.070007,179.100006,174.360886,34386800
2018-01-18,179.369995,180.100006,178.250000,179.259995,174.516632,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,173.737839,32425100
2018-01-22,177.300003,177.779999,176.600006,177.000000,172.316452,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,172.355392,32689100
2018-01-24,177.250000,177.300003,173.199997,174.220001,169.610016,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,166.582321,41529000
2018-01-26,172.000000,172.000000,170.059998,171.509995,166.971725,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,163.515671,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,162.551865,46048200
